review,date_of_review
Recent visit 12th March,2013-04-07
Extremely interesting museum,2016-12-31
Perfect sunny afternoon,2021-04-03
Well worth the token entrance fee,2013-10-16
Visit to Rhodesia Railways in Bulawayo,2016-07-02
They must see train museum,2015-10-22
A bona fide world class Railway Museum.,2023-07-29
Amazing History and Beautiful Trains.,2019-09-09
Highly recommended,2020-06-05
"Wonderfully engaging for me, and engineer but not a railway buff.",2017-06-28
I have been to the York Railway Museum but found my recent visit to the Bulawayo Railway Museum to be more fascinating and enjoyable. Gordon who showed us around was a font of knowledge and his passion for all things railway was evident when speaking to him. The highlight was being able to go into Cecil John Rhodes personal carriage. Being able to climb onto the Garratt class and other locomotives is not something you will do at York Railway Museum.,2013-04-07
"The museum is an absolutely amazing place, huge, full of exhibits showcasing the history of railways in Zimbabwe.I spent a fascinating over 3 hours there, and I could have spent twice as much.",2018-07-26
A stunning place of history. We enjoyed an hour of walking in between old coaches and trains. It's fun to discover the place and learn about Zimbabwean railways history. Make sure you visit Gordon at the office and listen to some stunning stories about Bulawayo and the rest of the country. The place is definitely worth a visit and a great opportunity to support the work they're doing on preserving former times.,2021-06-09
"For a very nominal entry fee of 2US$ it was well worth a visit. The curator Gordon Murray was very welcoming and there is a lot see (but don’t expect the NRM at York!). You can get hands on with the exhibits, on the footplates etc. and there is a pump cart you are free to try your hand with. My partner thought it great fun!",2017-01-21
"It was a beautiful enlightening experience rich in history and culture. The tour guide is part of the history being told, which makes it even more fascinating.",2019-10-09
What a treat. This place was much more than I hoped for. It had many trains from the beginning of rail history of Zimbabwe. The highlight of the museum is Mr Rhodes personal train car from the late 1800s. If you're in town this is a must see. It is run without any help from the government so if you can afford to make a donation to help with the upkeep.,2013-10-23
"A MUST visit! Wow! Went in for a quick one and spent 3 wonderful hours. The site is extraordinary and a true journey through time. Gordon Murray is part and parcel of it all and a true 'train man' and he has done a fantastic job overseeing since retiring from the Rhodesia/ Zimbabwe railroads. Cecil Rhodes personal car is the major - that would be a trophy for any major museum - but there is far, far more... plan for at least a couple of hours with pic opportunities a aplenty...",2016-07-02
