review,date_of_review
2015-01-25
Excellent Place.,2023-09-01
"the dining was outdoor with all flies, mosquitoes and other bugs flying in and around the food",2018-07-31
"Comfortable and quiet rooms
Walking distance to major attractions 
Very friendly and accommodating staff",2023-06-14
"Beautiful sprawling property. Very close to Victoria Falls and other activities - easily walkable. 

It's a large complex - meaning we had a 10 min walk to our rooms. However, anytime we requested anything in the room - the service people showed in no time! My son had issue with his foot. The hotel provided wheel chair service. Our porter and wheel chair assistant were very prompt and super helpful.

The hotel has buffet service. Which I felt was a rip off with $35 per person tag. We decided to eat out instead.",2022-03-26
"We loved our stay at the kingdom. The room was perfectly comfortable, the grounds are lovely, the staff was friendly and helpful and the location was close to everything. It may be a bit dated but we found it pleasing all around and would definitely recommend it for a local, Vic falls themed hotel experience.",2014-06-30
Just a phenomenally designed property and the closest hotel to the Victoria Falls national park area (walkable).,2017-08-30
"Need an update. But for what it is, a good value property.",2015-03-01
This is a hidden gem and would highly recommend this property! Staff were all friendly and extremely helpful. Would definitely come back again!,2019-06-03
It was absolutely wonderful. The staff were amazing and couldn’t help you more! Great rooms and price!,2020-11-01
"Only wish I had a room closer to reception (I have bad legs) and that there was a shower only, not on the bath",2022-11-11
They were really kind and allowed me to check in early.,2019-02-11
The food was good as well the ambience. It was close to all amenities. Staff were attentive.,2023-06-13
"The hotel was close to all the attractions. We were able to walk to the Falls and restaurants.
Breakfast buffet was good with lots of choices.
Did not use the pools, I’m sure the water was clean but looked grey.
There was no air conditioning so it was difficult,to sleep at night ....too hot and humid. The fan wasn’t very effective.",2019-11-27
"The hotel was within walking distance of the Falls, but we were encouraged to take a taxi. The staff was somewhat helpful, but not overly so. Very good breakfast.",2018-10-03
"The hotel buildings are unique with great brick work tiles and thatch. Large room with balcony, great pool area and attentive staff. 
Pool bar frequently out of stock of certain items and would  promise what we ordered and then short deliverer.",2021-11-21
This is an old hotel.  Charming.  But it does show some aging.  We had a couple of issues with our room and staff was readily available to deal with them. Staff was great.  Food was excellent.  Terrific pool area.  I'd definitely recommend.,2016-09-20
"A/C was off for 5 hours on our first day there

Otherwise everything was great",2015-10-30
"This Kingdom hotel is conveniently located within walking distance of the falls and in the other direction shops, restaurants, and supermarkets, the included breakfast was excellent. Regular power outages were not too much of a problem as the hotel has generators. The Kingdom hotel does accept international credit card for hotel expenses. Take US currency, I was unable to find an ATM that worked to get some local currency and credit cards are not widely accepted at Victoria Falls.",2017-03-19
very close to the falls & breakfast was excellent with a wide variety of food,2022-03-22
Power issues but this was out of the control of resort.  They had backup generators.   Apparently there is an ongoing issue in Zimbabwe with their power grid.   Sad as the people and the activities around Victoria Falls is amazing.   So glad we went even though we knew ahead of time about the power issue.,2022-11-02
"The hotel felt a lot like a tourist trap. Maybe this is to be expected in the location so close to the falls, but after spending several days in Kruger, we were not expecting this. The",2017-09-05
very close to the falls & breakfast was excellent with a wide variety of food,2022-02-08
Power issues but this was out of the control of resort.  They had backup generators.   Apparently there is an ongoing issue in Zimbabwe with their power grid.   Sad as the people and the activities around Victoria Falls is amazing.   So glad we went even though we knew ahead of time about the power issue.,2016-05-24
"The hotel felt a lot like a tourist trap. Maybe this is to be expected in the location so close to the falls, but after spending several days in Kruger, we were not expecting this. The",2020-09-06
"Great location, beautiful hotel and food was lovely.",2020-05-12
You are limited for choice in Victoria Falls. This place has a Disney like quality but in badly need of some maintenance. The aircon won’t work most of the time due to power restrictions and they don’t have most of the things on their drinks menu. Don’t eat in the restaurant other than for breakfast unless you want experience extreme disappointment. I couldn’t find half of the facilities they said they had.,2022-12-06
"The room was very nice and the staff were exceptionally helpful. Spencer was particularly kind and capable as he wrapped a large wooden giraffe for me to take on the plane. The staff also answer lots of questions and went out of their way to be helpful. The location of the hotel is also excellent as it is within walking distance to the falls.
Breakfast was really very nice but the food from the menu at dinner was mediocre at best. We had three dinners there and did not enjoy a single one of them.",2016-08-22
There's charge to use spa. And they only open 9am to 5 pm.,2017-09-23
"Easy check in and help getting to room. Comfortable bed with mosquito netting.  Dinner buffet at restaurant had a lot of selection but not much to my liking.  Problems with internet created trouble with charging things, but wifi worked good in room.",2019-02-08
"Gracious staff, well appointed furniture, beautiful patio balcony over lagoon and grounds can hear falls, easy walk to falls, wonderful breakfast, excellent shower",2014-11-01
Nice grounds and within walking distance of the falls.,2023-05-10
"Great location for this resort-type hotel, within 10 mins walk of the Falls. Right next door to the famous Victoria Falls Hotel where you can pop in for drinks and meals at the same prices. Breakfast was excellent!  Great value all round and well maintained.",2020-12-23
"Really nice facilities, very close to the falls.
Sometimes it was difficult to get the right info",2023-05-28
"Please be warned: There is a problem booking with EXPEDIA. We booked a family room for one night. On Expedia's site, when you select 2 adults and 2 kids, no rooms show. But when selecting just 2 adults, the option to book a family room (which has 2 beds+2 bunk beds) appears and it also says kids stay free, plus free breakfast. So we booked this. When we arrived at the hotel, they told us that the free breakfast is only for the adults but the kids have to pay an extra US$16 each for breakfast. When we complained (and it doesn't say this on the itinerary), they asked if we booked with Expedia and they said that this is a common problem with Expedia's site. 

In any case, the breakfast was definitely not worth US$32 for the kids so we ended up going to an outside restaurant. Very disappointed at both Expedia and the way the hotel handled this (spoiled our experience). Sort out your booking systems (Expedia), and the hotel needs to learn to provide better service (no wonder they are failing).",2018-12-31
The property needs major refurbishment. The food needs to greatly improve.,2019-07-18
Room a bit too noisy as it’s downstairs overall perfect location hotel,2020-10-01
"The staff were all incredible from the traditional tribal greeting, through checkin and throughout our seven night stay.  We based ourselves here and did several Safari excursions from the hotel.  The only niggle was the pool was freezing cold but to be expected in such a hot country.  We wholly recommend The Kingdom at Victoria Falls!",2021-01-17
EASY ACCESS (WALK) TO FALLS AND BRIDGE. GREAT BREAKFAST. NICE HOTEL.,2014-01-14
Amazing staff and hotel.  Felt very welcome and comfortable.,2023-08-08
Exceptional service great staff food was great. Amazing views and beautiful rooms My kids loved the place . Enjoyed,2019-06-14
"Great location and hospitality, enjoyed the stay and their services",2018-10-04
"This is brilliantly located in terms of proximity to the Falls.  The whole atmosphere is very relaxing, with spacious surroundings.",2022-10-05
"Great location for going to the falls, this is the only hotel on our southern Africa trip that offered multiple shapes of electric outlets, excellent breakfast.  Expensive.",2018-10-31
The entertainment was great and the grounds were beautiful.,2018-01-11
"The staff was wonderful in every way. The rooms are a bit out dated in terms of furnishings. Overall they need remodeling. However, the staff definitely makes up for it!!!",2015-09-26
I loved that it was so close to the falls.  It was close also to the old Victoria falls hotel where high tea is served every day with spectacular views.  And the market is a 3 minute walk.  Great location and lovely facilities.  First day there we had families of elephants right outside our porch ... an electric fence was separating us.  Awesome pictures of the elephants in the wild.  ❤️❤️❤️,2023-04-07
"Service the property the food , there is so much to do and it’s near the falls",2019-09-13
"Stuff was really great and attentive. Location is great, the swimming pool was nice, it was a pleasure staying at the kingdom, the only thing i didn't really enjoy was the breakfast and the furnishings needs upgrading.",2018-12-21
The stay was ok. Was not there long enough to know the place well,2022-06-20
A lovely resort that is clean and well equipped. The décor of the hotel adds to the African experience and the pool area is wonderful and well maintained. The breakfasts are great and the service top class. Good value for  money and highly recommended!,2016-04-06
"It looks somewhat like a Disney Resort (that’s not a compliment) and the rooms could use an updating. However, the staff is unfailingly polite and helpful and you can easily walk to the Falls and bridge from the property. It is the closet lodging to the Falls. Breakfast was good (not great). It was nice to chill in the pool after a hot day.",2014-11-29
"This property is very well located for those wanting to visit Victoria Falls.  The rooms are spacious and are fine for a short stay.  The guys on the gate are the friendliest there is and always asked what we were doing for the day and always asked how we enjoyed it when we came back, their service was fantastic and the rest of the staff should take note of how they do it.  The staff in the restaurant for breakfast were not attentive, you had to get their attention to get cups of coffee,  time was 6.30am in the morning when there was only a handful of us in the restaurant. The front desk was fine as well.  The other item that needs attention is the towels.  I know that not all hotels provide fluffy towels, but the threadbare towels that were provided to us on the first day in the bathroom were not acceptable, the next day the towels we got were better,but only just. The towels provided at the poolside had large holes in them, not a good look.  This hotel charges top prices but at best I think it is  3* hotel.  We did not eat at night in the restaurant as it is very expensive and based on the breakfast we didn't think the quality would be there.  Would I stay here again, unlikely, it would depend on the price.",2014-08-25
The staff go out of their way to be helpful. Just needs more people staying there,2023-08-22
"Food, staff and service all excellent. Breakfast and evening buffet plentiful. Great location in heart of iVictoria Falls. Pool area very clean and well maintained.
Room floors a little dirty.",2017-03-03
"Close to the Falls
Lots of space both in rooms and outside
Good food",2023-11-21
"The Kingdom has a great entrance, its all spacious and the pool area is fantastic.  The rooms are a bit dated but because of the African feel they get away with it. The staff are good but there is a feeling of sadness in the country as the people ""the staff"" who create the wonderful holiday for tourists are not looked after. Something needs to change and quickly!",2018-11-01
Very nice.  Facilities were good.  Staff was great.  Note.  If gambling at the casino.  They can’t always pay out US Dollar.  Make sure the cashier has USavailable for payout.  Was ripped off a little bit won a lot.  No worries I guess.  Was a great time with the love of my life!!!!,2019-07-26
"The location was convenient for activities and seeing the area.  The room was nice and the property had beautiful grounds and a pool.  The food options and restaurant facilities were not really to our taste.  We wanted to get something light to eat and there was nothing available on site.  The restaurant at the attached casino had more choices, but we still needed to walk into town for more options.",2015-02-11
The hotel design was great. The food was varied and excellent,2019-09-27
