review,date_of_review
2015-08-18
"Awesome day out, RHINOS ARE AMAZING!!",2022-08-21
Incredible park and team of rangers and tour operators trying to save Rhinos. We had the local legend Ian as our guide for the day and he was amazing. Heartbreaking to hear about the poaching that is still happening. The painting in the park were amazing!! as were the rhino of course. This place is a must visit. You'll have an awesome day and contribute some tourist $'s to helping protect the rhinos.,2021-05-04
"Beautiful setting, chance to see rhinos",2018-03-01
"This park is not often visited because you won't spot many animals on game drives, and it isn't on the main circuit for tourism. But it's easy to get to from Bulawayo and has spectacular scenery, with hills, rock faces, and boulders that are gorgeous all day and with the sun setting. There are also 13,000-year-old cave paintings and a chance to see rhinos in the wild (even on foot).  Very peaceful, pretty, and photogenic.",2022-03-21
Excellent Day out,2019-02-07
"Our knowledgeable guide first took us to see the Bushmen Cave Paintings, explaining their way of life, which was interesting.  There isn't that much there by way of the paintings you just walk up a short way to the rock and come down again.We then went on to see the Rhinos up close, now this was special, right up close and personal.  If you do nothing else on your visit do this part.  We were on foot and had to walk a short distance through the bush, obviously as they move around there is no set pathway so covered footwear and if you are not too steady on your feet, this may not be for you.We finshed off with a visit to Cecil Rhode's Grave, again very interesting.  There are loos in the car park here.  The actual grave is at the top of a steep climb, in itself not difficult but if you are not particularly mobile then forget it.  The views from the top are breathtaking.We arrived by rail and it is a 45 min transfer from Bulawayo station.",2013-10-21
The reality of conservation,2020-10-06
Seeing rhinos and drinking in the incredibley breathtaking panorama from World's View. I am sure this where God started creation. The National Parks staff were knowledgeable and it is very humbling to actually meet the dedicated human beings protecting animals facing extinction as they patrol the parks . When you visit find out how you can be a part of supporting the scouts and the communities protecting wildlife and being an active part of conservation. These men and women put their lives on the line for conservation.,2023-09-24
Amazing landscape,2023-06-06
"Loved this National Park,  such different landscape to other places. Rocky terrain and lush green surrounds. There are many caves within the park, many with ancient rock paintings by the San bushmen. We were lucky to see 6 large rhinos in the park too. Our guide, Adrian,  knew a lot about the plant life within the park too. Cecil Rhodes final resting place is,also here. That costs 10US to visit  but there's a fabulous view without going right up. Viewpoint called World's View. Breath taking. We didn't see many animals but the rhino were spectacular.",2013-11-10
"Great views, some animals, and interesting stories",2015-02-20
"The park is unique, I believe for its stone mountains which are quite an amazing site.  Your experience, I believe will depend on your tour guide.  We didn’t go to Rhodes grave, although I would have liked to visit the former residence as part of understanding the man.  We visited with a local elder for a view of some cave paintings as well as going to visit a local family in huts.  These visits added tremendously to our experience.  We did manage to see some animals from a distance but we didn’t do the rhino walk.",2021-03-30
A Memorable Day,2013-09-17
